strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate,failure_rate
CtB-only,0.049118685686425634,0.03095781820622557,1.586632667690643,-0.02867083645124524,0.08273354078595432,0.16515051352230042,0.03683363101706134,0.0020837805642453288,0.0,0.0
CtR-only,0.053728295667003545,0.03988280420058535,1.3471544126331767,-0.04457010026403052,0.04697928430154002,0.09247682463228882,6.889766703594535e-07,0.03831455575140328,0.0,0.0
EW,0.08530908568001716,0.07803813404931781,1.0931717770968783,-0.10760575578958842,0.01694915254237288,0.0,0.03468253607565187,0.4696028347236203,0.0,0.0
GMV,0.030123175669106272,0.016039786610643394,1.8780284551365338,-0.01227481917458817,0.08055351097607547,0.22949084572070302,0.21989155049314837,0.21905706207504202,0.0,0.0
MDP,0.050934726838115285,0.031068944015130363,1.6394096565789433,-0.029300627046789374,0.08346076533523913,0.18224977699384412,0.03926151967114358,0.0026471457262050987,0.0,0.0
Main,0.050118724717837404,0.037570617293845573,1.3339872572721165,-0.041907652656753114,0.057438564065988726,0.1131524217178376,0.001337250215714494,0.021871544695078685,1.0,0.0
