strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate,failure_rate
CtB-only,0.0,0.0,,0.0,1.0,1.0,1.666666664912147e-15,0.0,0.0,0.0
CtR-only,0.0,0.0,,0.0,1.0,1.0,1.666666664912147e-15,0.0,0.0,0.0
EW,0.0,0.0,,0.0,1.0,1.0,1.666666664912147e-15,0.0,0.0,0.0
GMV,0.0,0.0,,0.0,1.0,1.0,1.666666664912147e-15,0.0,0.0,0.0
MDP,0.0,0.0,,0.0,1.0,1.0,1.6666668329589124e-15,1.2325940150128401e-22,0.0,0.0
Main,0.0,0.0,,0.0,1.0,1.0,1.666666664912147e-15,0.0,0.0,0.0
