date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2026-04-19,EW,1,0,0,0.0,0,5,success,0.0
2026-04-19,GMV,1,0,20,1.1782600945424553e-08,0,5,success,0.013236758573102424
2026-04-19,CtR-only,1,108,2,1.9778890766513102e-12,0,5,success,0.01265778921857789
2026-04-19,MDP,1,103,2,1.2161883888976236e-10,0,5,success,-1.468015133924515
2026-04-19,CtB-only,1,174,2,4.813662290128892e-12,0,5,success,0.008944534755090546
2026-04-19,Main,1,106,2,3.151281687781447e-12,0,5,success,0.01265778921857789
