date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value,run_id,run_type,scope,date_start,date_end
2017-06-30,CtB-only,1,250,2,0.058340529785711,0,7,success,0.0038709422731467,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-06-30,Main,1,250,2,4.5287879293309196e-10,0,10,success,0.0089805446764622,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-07-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-07-31,GMV,1,0,41,0.0006462960898162,0,5,success,0.0004291683888446,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-07-31,CtR-only,1,250,2,5.212359047058063e-11,0,10,success,0.0001920867733494,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-07-31,MDP,1,250,1,0.4065006869104693,0,8,success,-1.9235513894919172,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-07-31,CtB-only,1,250,2,0.0680524692648043,0,7,success,0.0046321953179499,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-07-31,Main,1,250,2,4.2835948335121174e-10,0,10,success,0.010841911836907,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-08-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-08-31,GMV,1,0,41,0.0006639778094251,0,5,success,0.0004258649899835,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-08-31,CtR-only,1,166,2,3.5014961287097794e-11,0,10,success,0.0001792619093879,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-08-31,MDP,1,250,1,0.4207889694708813,0,7,success,-1.9485201547217843,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-08-31,CtB-only,1,250,2,0.0713452032445786,0,7,success,0.0052085338880332,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-08-31,Main,1,250,1,3.087233959511482e-10,0,10,success,0.0111075226192879,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-09-29,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-09-29,GMV,1,0,43,0.0005534733482891,0,5,success,0.000388486739801,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-09-29,CtR-only,1,234,2,4.876844159654723e-11,0,10,success,0.0002040613400706,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-09-29,MDP,1,250,1,0.3606308604982724,0,7,success,-2.0587848468630208,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-09-29,CtB-only,1,250,2,0.0664378751349435,0,7,success,0.0039837059781656,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-09-29,Main,1,250,1,4.810661411636343e-10,0,10,success,0.0088830285146261,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
