date,strategy,asset,ctb
2026-04-19,EW,A1,0.8443074636983939
2026-04-19,EW,A2,0.839668411700051
2026-04-19,EW,A3,0.6767317677937164
2026-04-19,EW,A4,0.6630826665420984
2026-04-19,EW,A5,0.6210711039137875
2026-04-19,GMV,A1,0.5975042761796744
2026-04-19,GMV,A2,0.595960512508872
2026-04-19,GMV,A3,0.688155848043922
2026-04-19,GMV,A4,0.7538369026668191
2026-04-19,GMV,A5,0.8428152401127974
2026-04-19,CtR-only,A1,0.7795478404366368
2026-04-19,CtR-only,A2,0.7741085428490448
2026-04-19,CtR-only,A3,0.7032203519247451
2026-04-19,CtR-only,A4,0.7102251609592866
2026-04-19,CtR-only,A5,0.6887343906464475
2026-04-19,MDP,A1,0.7268173631239995
2026-04-19,MDP,A2,0.7266594773418751
2026-04-19,MDP,A3,0.7266633043828286
2026-04-19,MDP,A4,0.7266633671263478
2026-04-19,MDP,A5,0.7265804729746627
2026-04-19,CtB-only,A1,0.7289873177237377
2026-04-19,CtB-only,A2,0.7250682170543522
2026-04-19,CtB-only,A3,0.7269538815202081
2026-04-19,CtB-only,A4,0.7269849117226088
2026-04-19,CtB-only,A5,0.7267637623029095
2026-04-19,Main,A1,0.7795478404365611
2026-04-19,Main,A2,0.7741085428489685
2026-04-19,Main,A3,0.7032203519247543
2026-04-19,Main,A4,0.7102251609593294
2026-04-19,Main,A5,0.6887343906465322
