date,strategy,asset,weight
2026-04-19,EW,A1,0.2
2026-04-19,EW,A2,0.2
2026-04-19,EW,A3,0.2
2026-04-19,EW,A4,0.2
2026-04-19,EW,A5,0.2
2026-04-19,GMV,A1,6.928729508540177e-18
2026-04-19,GMV,A2,0.1631991185566164
2026-04-19,GMV,A3,0.17257822641751913
2026-04-19,GMV,A4,0.2307152114521482
2026-04-19,GMV,A5,0.43350744357371623
2026-04-19,CtR-only,A1,0.15938362962728445
2026-04-19,CtR-only,A2,0.16050218861982105
2026-04-19,CtR-only,A3,0.20397090561518996
2026-04-19,CtR-only,A4,0.22120501780280902
2026-04-19,CtR-only,A5,0.25493825833489553
2026-04-19,MDP,A1,0.04501533530782077
2026-04-19,MDP,A2,0.22315776176765462
2026-04-19,MDP,A3,0.220793289469434
2026-04-19,MDP,A4,0.22183769544873594
2026-04-19,MDP,A5,0.28919591800635464
2026-04-19,CtB-only,A1,0.1026360574245837
2026-04-19,CtB-only,A2,0.16594882540265363
2026-04-19,CtB-only,A3,0.2207370140088894
2026-04-19,CtB-only,A4,0.22182068581503064
2026-04-19,CtB-only,A5,0.2888574173488426
2026-04-19,Main,A1,0.15938362962723823
2026-04-19,Main,A2,0.16050218861978413
2026-04-19,Main,A3,0.2039709056151763
2026-04-19,Main,A4,0.2212050178028238
2026-04-19,Main,A5,0.25493825833497746
