date,strategy,turnover
2016-01-29,EW,1.0
2016-01-29,GMV,1.0
2016-01-29,CtR-only,1.0
2016-01-29,MDP,1.0
2016-01-29,CtB-only,0.9999999999999999
2016-01-29,Main,0.9999999999999999
2016-02-29,EW,0.0
2016-02-29,GMV,0.012284053982198234
2016-02-29,CtR-only,0.018990199972547073
2016-02-29,MDP,0.056937024668048536
2016-02-29,CtB-only,0.04946211185378611
2016-02-29,Main,0.02723305879785856
2016-03-31,EW,0.0
2016-03-31,GMV,0.08912352713827056
2016-03-31,CtR-only,0.0324154430000094
2016-03-31,MDP,0.11141515278980835
2016-03-31,CtB-only,0.10394645260088553
2016-03-31,Main,0.034149824742362604
2016-04-29,EW,0.0
2016-04-29,GMV,0.008307010774051675
2016-04-29,CtR-only,0.007176953825300616
2016-04-29,MDP,0.027540647547474685
2016-04-29,CtB-only,0.03027385668408401
2016-04-29,Main,0.005828451250851099
2016-05-31,EW,0.0
2016-05-31,GMV,0.05146212443424358
2016-05-31,CtR-only,0.029373140603181875
2016-05-31,MDP,0.07440251685139523
2016-05-31,CtB-only,0.05358274072951095
2016-05-31,Main,0.03407878975749205
2016-06-30,EW,0.0
2016-06-30,GMV,0.16542696692772746
2016-06-30,CtR-only,0.05805287638545702
2016-06-30,MDP,0.08114596588118983
2016-06-30,CtB-only,0.07974435822895401
2016-06-30,Main,0.04929642047025532
2016-07-29,EW,0.0
2016-07-29,GMV,0.01750704399231597
2016-07-29,CtR-only,0.00628634448514067
2016-07-29,MDP,0.03302791235026233
2016-07-29,CtB-only,0.029885381076041335
2016-07-29,Main,0.008551920387062071
2016-08-31,EW,0.0
2016-08-31,GMV,0.04864151709255591
2016-08-31,CtR-only,0.030512985120562938
2016-08-31,MDP,0.06853379311957772
2016-08-31,CtB-only,0.07624311474203203
2016-08-31,Main,0.04065924697647195
2016-09-30,EW,0.0
2016-09-30,GMV,0.017561668545749677
2016-09-30,CtR-only,0.02020222510909135
2016-09-30,MDP,0.07521796875382925
2016-09-30,CtB-only,0.08482508427455061
2016-09-30,Main,0.055744105198615876
2016-10-31,EW,0.0
2016-10-31,GMV,0.04415713472266346
2016-10-31,CtR-only,0.009990894967667304
2016-10-31,MDP,0.019898514246670572
2016-10-31,CtB-only,0.03061536708049694
2016-10-31,Main,0.012652125298465787
2016-11-30,EW,0.0
2016-11-30,GMV,0.027141296723874685
2016-11-30,CtR-only,0.022917682240302727
2016-11-30,MDP,0.06305554132539903
2016-11-30,CtB-only,0.08103975609494327
2016-11-30,Main,0.035878267529801694
2016-12-30,EW,0.0
2016-12-30,GMV,0.038218140694929036
2016-12-30,CtR-only,0.027112921761452316
2016-12-30,MDP,0.08247930537654044
2016-12-30,CtB-only,0.08609408318265559
2016-12-30,Main,0.028600621771102255
2017-01-31,EW,0.0
2017-01-31,GMV,0.1004189456637532
2017-01-31,CtR-only,0.0497548633888388
2017-01-31,MDP,0.09239910764101174
2017-01-31,CtB-only,0.09811431789181804
2017-01-31,Main,0.05679848645306871
2017-02-28,EW,0.0
2017-02-28,GMV,0.06992900035857089
2017-02-28,CtR-only,0.034025615912137236
2017-02-28,MDP,0.10624704520836868
2017-02-28,CtB-only,0.0982544542954227
2017-02-28,Main,0.03834870331057158
2017-03-31,EW,0.0
2017-03-31,GMV,0.05913528158056431
2017-03-31,CtR-only,0.03008755816838076
2017-03-31,MDP,0.09449183286908253
2017-03-31,CtB-only,0.08789458639899916
2017-03-31,Main,0.03290856609162773
2017-04-28,EW,0.0
2017-04-28,GMV,0.05085100290158666
2017-04-28,CtR-only,0.023719652249504647
2017-04-28,MDP,0.03942075197914545
2017-04-28,CtB-only,0.04160930656584374
2017-04-28,Main,0.026969707640819195
2017-05-31,EW,0.0
2017-05-31,GMV,0.04515710975000992
2017-05-31,CtR-only,0.016823732397069066
2017-05-31,MDP,0.07153960471591711
2017-05-31,CtB-only,0.07021914631438361
2017-05-31,Main,0.024601523619073307
2017-06-30,EW,0.0
2017-06-30,GMV,0.44608538549056764
2017-06-30,CtR-only,0.11433600671406136
2017-06-30,MDP,0.2579006472540698
2017-06-30,CtB-only,0.2680304723653681
2017-06-30,Main,0.18612742665928086
2017-07-31,EW,0.0
2017-07-31,GMV,0.014430304602954237
2017-07-31,CtR-only,0.0194719448580154
2017-07-31,MDP,0.016816463446699046
2017-07-31,CtB-only,0.03759483932699574
2017-07-31,Main,0.03989198143558079
2017-08-31,EW,0.0
2017-08-31,GMV,0.037019132792738677
2017-08-31,CtR-only,0.014762203923484353
2017-08-31,MDP,0.04832989103299547
2017-08-31,CtB-only,0.040483855690254075
2017-08-31,Main,0.021190930416781554
2017-09-29,EW,0.0
2017-09-29,GMV,0.073821869198691
2017-09-29,CtR-only,0.060802621564445034
2017-09-29,MDP,0.1332325370154171
2017-09-29,CtB-only,0.13279153844183544
2017-09-29,Main,0.09821547850142741
2017-10-31,EW,0.0
2017-10-31,GMV,0.009937979419603058
2017-10-31,CtR-only,0.023243542635648713
2017-10-31,MDP,0.06648841019605323
2017-10-31,CtB-only,0.05430530351009413
2017-10-31,Main,0.030566544748565624
2017-11-30,EW,0.0
2017-11-30,GMV,0.07252538701569305
2017-11-30,CtR-only,0.02086779876540753
2017-11-30,MDP,0.05508170259962152
2017-11-30,CtB-only,0.0528293611264376
2017-11-30,Main,0.036274984781235906
2017-12-29,EW,0.0
2017-12-29,GMV,0.0074910716223794095
2017-12-29,CtR-only,0.014433258161066366
2017-12-29,MDP,0.048706680090912724
2017-12-29,CtB-only,0.04754409819408574
2017-12-29,Main,0.0381330357825862
2018-01-31,EW,0.0
2018-01-31,GMV,0.02242910489047169
2018-01-31,CtR-only,0.03027139341945974
2018-01-31,MDP,0.10769334003075146
2018-01-31,CtB-only,0.08693310932891449
2018-01-31,Main,0.057433811163826995
2018-02-28,EW,0.0
2018-02-28,GMV,0.1848259340241088
2018-02-28,CtR-only,0.09004802662320313
2018-02-28,MDP,0.17384412474270847
2018-02-28,CtB-only,0.1557409562577813
