date,strategy,obj_total,dr_term,db_term,smooth_term,l2_term,band_penalty
2016-01-29,CtR-only,0.0002071981068359971,5.046839336328589e-07,0.0,0.0,0.00020669342290236423,0.0
2016-01-29,CtB-only,0.0005518991724370113,0.0,0.00022149419391639727,0.0,0.00033040497852061405,0.0
2016-01-29,Main,0.00021684480263425973,6.802559090578697e-06,0.020131091805403532,0.0,0.00020918299047148316,8.592530721978739e-07
2016-02-29,CtR-only,0.00021149331074837702,6.537311598096262e-07,0.0,1.2370406275092896e-06,0.0002096025389610581,0.0
2016-02-29,CtB-only,0.0007709319656819123,0.0,0.0004354859941104516,8.21501778536299e-06,0.0003272309537860977,0.0
2016-02-29,Main,0.00027300580241215847,4.926428967111314e-05,0.02034464143786092,2.481851083291568e-06,0.00021532077562321162,5.938886034542148e-06
2016-03-31,CtR-only,0.00021068857971395417,1.1446804581136695e-07,0.0,5.087034133132132e-06,0.00020548707753501066,0.0
2016-03-31,CtB-only,0.0010965994034270758,0.0,0.0007278381758974195,5.534088102340184e-05,0.0003134203465062545,0.0
2016-03-31,Main,0.0002901295580999798,6.644548653853318e-05,0.020381242911622206,5.646004021576056e-06,0.00021077075965676175,7.267307883108827e-06
2016-04-29,CtR-only,0.00020571720498202743,3.2445727328742866e-07,0.0,1.317539727215451e-07,0.00020526099373601846,0.0
2016-04-29,CtB-only,0.0010638394737583524,0.0,0.0007490147405610348,3.502482578177795e-06,0.00031132225061913997,0.0
2016-04-29,Main,0.0002988621221705663,7.836855594037416e-05,0.020434909075816996,9.013721387721887e-08,0.00021094613380491522,9.457295211399667e-06
2016-05-31,CtR-only,0.00020547981025841952,5.390928907381626e-08,0.0,3.397925131990854e-06,0.00020202797583735485,0.0
2016-05-31,CtB-only,0.0011770167553825815,0.0,0.0008510691225751599,1.669914019568843e-05,0.00030924849261173323,0.0
2016-05-31,Main,0.00026074693740678605,4.443497593202025e-05,0.02033211606152761,4.7965288858723815e-06,0.00020600037867266283,5.515053916230553e-06
2016-06-30,CtR-only,0.00021249488053102546,1.2082042902231934e-06,0.0,2.15769476141346e-05,0.00018970972862666766,0.0
2016-06-30,CtB-only,0.0014222726831853037,0.0,0.0010851626780484023,3.563541968254567e-05,0.00030147458545435566,0.0
2016-06-30,Main,0.0005358692548635967,0.0002709209703166458,0.021009441066809194,1.6117329037408124e-05,0.00019788239214149864,5.094856336804412e-05
2016-07-29,CtR-only,0.0001888155370960448,1.9831318354352816e-07,0.0,1.0847164409397681e-07,0.0001885087522684073,0.0
2016-07-29,CtB-only,0.001454932172422018,0.0,0.0011489870298069297,4.226257206422626e-06,0.00030171888540866574,0.0
2016-07-29,Main,0.0005402475826498924,0.00028517585334675516,0.021062728230162586,1.9532934153788883e-07,0.0001984068354023743,5.64695645592251e-05
2016-08-31,CtR-only,0.00018643620300803798,1.3825166454901135e-07,0.0,2.8709123363795074e-06,0.00018342703900710945,0.0
2016-08-31,CtB-only,0.0010231735741570397,0.0,0.0006963501133690571,3.456836328256117e-05,0.00029225509750542154,0.0
2016-08-31,Main,0.00035028960180297165,0.00013317418897716428,0.020657420487128424,5.46859275594371e-06,0.000190036735225055,2.1610084844808667e-05
2016-09-30,CtR-only,0.00018834127040526737,8.047190710527284e-07,0.0,1.53508205701025e-06,0.0001860014692772044,0.0
2016-09-30,CtB-only,0.0015004572188652573,0.0,0.001156751865089405,4.661036143929528e-05,0.00029709499233655703,0.0
2016-09-30,Main,0.0009083847520497026,0.0005700925269079854,0.02155150747991135,1.5707438258279392e-05,0.00020222601387239437,0.00012035877301104352
2016-10-31,CtR-only,0.00018601955330598008,2.0255916939036383e-07,0.0,2.526900056504435e-07,0.00018556430413093928,0.0
2016-10-31,CtB-only,0.0011792647716713342,0.0,0.0008747792881294376,6.26419813075073e-06,0.0002982212854111459,0.0
2016-10-31,Main,0.0010446869012002665,0.0007055474181459942,0.021644452861359638,4.651780760240865e-07,0.00020346304431655336,0.00013521126066169496
2016-11-30,CtR-only,0.00018645863630552373,4.436120794939343e-07,0.0,1.7474035059985099e-06,0.00018426762072003129,0.0
2016-11-30,CtB-only,0.0024577407178747327,0.0,0.002132128092032862,3.23624621414306e-05,0.0002932501637004401,0.0
2016-11-30,Main,0.0012814228712648601,0.000875931857590689,0.021985309302263563,3.522433539422e-06,0.00020489592885203735,0.00019707265128271167
2016-12-30,CtR-only,0.00018195121893302497,7.193922824571172e-08,0.0,2.3902228574026733e-06,0.0001794890568473766,0.0
2016-12-30,CtB-only,0.003766722713070808,0.0,0.0034481248117377624,3.299967688061101e-05,0.00028559822445243437,0.0
2016-12-30,Main,0.0018726745036469067,0.0013283390438658942,0.022600648960019155,2.5484054211406995e-06,0.00020361830369743615,0.00033816875066243566
2017-01-31,CtR-only,0.0001791703952994872,9.537932169026992e-08,0.0,1.0042331386425884e-05,0.00016903268459137104,0.0
2017-01-31,CtB-only,0.0037334626546126617,0.0,0.0034149443179241953,4.197352798499444e-05,0.0002765448087034717,0.0
2017-01-31,Main,0.0017249039156745478,0.0012040303484241366,0.02252201363484303,1.194836842444121e-05,0.00019089756010926259,0.0003180276387167073
