strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95
CtB-only,0.0286016284235814,0.0458722911468359,0.6235055565903268,-0.1030952251570315,0.0868198913502704,0.2196480616916077
CtR-only,0.037357195002099,0.0598572139614399,0.6241051417154921,-0.1277081471004737,0.04427535911783,0.109970824729178
EW,0.0691892778095233,0.0867572627854848,0.7975041580161425,-0.1567179760822221,0.0169491525423728,0.0
GMV,0.0188596956914119,0.0256806146083194,0.7343942494780583,-0.0739090130797006,0.0736592918657939,0.275971031697957
MDP,0.029421978905775,0.0465434936303638,0.6321394594792701,-0.1036680213204365,0.091491785123442,0.2222671000850599
Main,0.0339254332722163,0.0556837427445641,0.6092520294090349,-0.1233372743201677,0.0563696868337475,0.1487214533971429
