strategy,dr_mean,db_mean,active_rate,turnover_mean,failure_rate
CtB-only,0.0407996013604804,0.0012651133173999,0.0,0.0868198913502704,0.0
CtR-only,3.070697017941551e-06,0.0459303688085144,0.0,0.04427535911783,0.0
EW,0.0184041577542469,0.2190935918777552,0.0,0.0169491525423728,0.0
GMV,0.3017417711742214,0.2380103971356958,0.0,0.0736592918657939,0.0
MDP,0.040149154106809,0.0015019787260442,0.0,0.091491785123442,0.0
Main,0.0023921972493646,0.0226943765776695,0.9830508474576272,0.0563696868337475,0.0
