run_type,strategy,n_rows,success_rate,partial_rate,fallback_rate,nonconverged_rate,mean_pg_iter,mean_newton_iter,median_kkt_residual,max_kkt_residual
full,CtB-only,118,1.0,0.0,0.0,0.0,294.93220338983053,2.016949152542373,0.0113326123145259,0.0322320665479905
full,CtR-only,118,1.0,0.0,0.0169491525423728,0.0,218.10169491525423,1.9830508474576272,2.6908852043727e-11,1.4410836501380846e-06
full,EW,118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,GMV,118,1.0,0.0,0.0,0.0,0.0,35.813559322033896,0.0007594173752133,0.00171817293688
full,MDP,118,1.0,0.0,0.0,0.0,253.32203389830508,1.694915254237288,0.1152102630492423,0.2335584941973134
full,Main,118,1.0,0.0,0.0169491525423728,0.0,256.271186440678,1.8728813559322035,2.0790029396754743e-10,0.0001025573408784
minimal_real,CtB-only,153,1.0,0.0,0.0,0.0,249.64705882352945,2.6405228758169934,0.0236493384966378,0.0817932570516691
minimal_real,CtR-only,153,1.0,0.0,0.0,0.0,200.4640522875817,2.019607843137255,7.071630608815582e-11,8.559886135232106e-07
minimal_real,EW,153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minimal_real,GMV,153,1.0,0.0,0.0,0.0,0.0,46.74509803921568,0.0003951599865351,0.0012432964406794
minimal_real,MDP,153,1.0,0.0,0.0,0.0,236.8562091503268,1.712418300653595,0.1557653010036096,0.4207889696135538
minimal_real,Main,153,1.0,0.0,0.0,0.0,237.6143790849673,2.156862745098039,1.3540862503120427e-08,9.25743518090876e-07
