date,strategy,turnover
2021-01-29,EW,1.0
2021-01-29,GMV,0.9999999999999999
2021-01-29,CtR-only,1.0
2021-01-29,MDP,1.0
2021-01-29,CtB-only,1.0
2021-01-29,Main,1.0
2021-02-26,EW,0.0
2021-02-26,GMV,0.021850157080860945
2021-02-26,CtR-only,0.012770494370895634
2021-02-26,MDP,0.041859046504954235
2021-02-26,CtB-only,0.03992216413608647
2021-02-26,Main,0.017717078900065318
2021-03-31,EW,0.0
2021-03-31,GMV,0.28017530638341887
2021-03-31,CtR-only,0.1325933397182788
2021-03-31,MDP,0.21203331060828018
2021-03-31,CtB-only,0.2127642748552696
2021-03-31,Main,0.15287346573771138
2021-04-30,EW,0.0
2021-04-30,GMV,0.1146708267229404
2021-04-30,CtR-only,0.07753446224358555
2021-04-30,MDP,0.10087812469676125
2021-04-30,CtB-only,0.10031959373545683
2021-04-30,Main,0.0943716984179525
2021-05-28,EW,0.0
2021-05-28,GMV,0.015282899927286821
2021-05-28,CtR-only,0.028559011444299422
2021-05-28,MDP,0.059726383488553
2021-05-28,CtB-only,0.05792053851558058
2021-05-28,Main,0.03599429440514795
2021-06-30,EW,0.0
2021-06-30,GMV,0.18702439329207152
2021-06-30,CtR-only,0.0812818142348127
2021-06-30,MDP,0.13918433356880608
2021-06-30,CtB-only,0.12059102744603942
2021-06-30,Main,0.11927796786041361
2021-07-30,EW,0.0
2021-07-30,GMV,0.017949884870511218
2021-07-30,CtR-only,0.01539141312801702
2021-07-30,MDP,0.053602458493026486
2021-07-30,CtB-only,0.04670489059591232
2021-07-30,Main,0.020644563015096727
2021-08-31,EW,0.0
2021-08-31,GMV,0.036657643797339406
2021-08-31,CtR-only,0.015586077177133777
2021-08-31,MDP,0.061974793250965644
2021-08-31,CtB-only,0.05306506897787896
2021-08-31,Main,0.01932332708863787
2021-09-30,EW,0.0
2021-09-30,GMV,0.01591175583556241
2021-09-30,CtR-only,0.028950338726923236
2021-09-30,MDP,0.08172971736597998
2021-09-30,CtB-only,0.058189141150865244
2021-09-30,Main,0.04180493816398507
2021-10-29,EW,0.0
2021-10-29,GMV,0.014083344500231748
2021-10-29,CtR-only,0.021510842572189298
2021-10-29,MDP,0.04781271606590856
2021-10-29,CtB-only,0.04922225488425905
2021-10-29,Main,0.033354969992954314
2021-11-30,EW,0.0
2021-11-30,GMV,0.02333821787442231
2021-11-30,CtR-only,0.03695459803041795
2021-11-30,MDP,0.09629289564652069
2021-11-30,CtB-only,0.07131437383269987
2021-11-30,Main,0.046939729229209144
2021-12-31,EW,0.0
2021-12-31,GMV,0.0354454117843869
2021-12-31,CtR-only,0.022591981678332693
2021-12-31,MDP,0.08512956729358373
2021-12-31,CtB-only,0.07021255972089543
2021-12-31,Main,0.03950336444615749
2022-01-31,EW,0.0
2022-01-31,GMV,0.06105380636247351
2022-01-31,CtR-only,0.024046592378046773
2022-01-31,MDP,0.08434167904755631
2022-01-31,CtB-only,0.08178771706284182
2022-01-31,Main,0.028721321145936462
2022-02-28,EW,0.0
2022-02-28,GMV,0.046597734913575134
2022-02-28,CtR-only,0.03230160910418211
2022-02-28,MDP,0.08469242058626315
2022-02-28,CtB-only,0.07645892357179966
2022-02-28,Main,0.06162841227656736
2022-03-31,EW,0.0
2022-03-31,GMV,0.27550389006623904
2022-03-31,CtR-only,0.1112208604817681
2022-03-31,MDP,0.3143712053760837
2022-03-31,CtB-only,0.2816021432186545
2022-03-31,Main,0.1825383060585816
2022-04-29,EW,0.0
2022-04-29,GMV,0.09943066460663834
2022-04-29,CtR-only,0.02256757444083622
2022-04-29,MDP,0.10132516554275359
2022-04-29,CtB-only,0.09888493333362819
2022-04-29,Main,0.03301416931029823
2022-05-31,EW,0.0
2022-05-31,GMV,0.07626106568287984
2022-05-31,CtR-only,0.028744933436854636
2022-05-31,MDP,0.08463779415719772
2022-05-31,CtB-only,0.06753714876966357
2022-05-31,Main,0.04066590588191996
2022-06-30,EW,0.0
2022-06-30,GMV,0.1778653513797486
2022-06-30,CtR-only,0.03676944891704941
2022-06-30,MDP,0.14075245497312067
2022-06-30,CtB-only,0.12102698499862807
2022-06-30,Main,0.08425771455916128
2022-07-29,EW,0.0
2022-07-29,GMV,0.06578744122915312
2022-07-29,CtR-only,0.015272330067256354
2022-07-29,MDP,0.06349897402617075
2022-07-29,CtB-only,0.07357730882429718
2022-07-29,Main,0.03204461087806683
2022-08-31,EW,0.0
2022-08-31,GMV,0.05201579387237361
2022-08-31,CtR-only,0.021951115620495225
2022-08-31,MDP,0.041170108457182636
2022-08-31,CtB-only,0.044138321524527485
2022-08-31,Main,0.040383640892237636
2022-09-30,EW,0.0
2022-09-30,GMV,0.08840117198744216
2022-09-30,CtR-only,0.021906247082096278
2022-09-30,MDP,0.06996011914764122
2022-09-30,CtB-only,0.06692351658147698
2022-09-30,Main,0.033006779255339874
2022-10-31,EW,0.0
2022-10-31,GMV,0.04588910935957387
2022-10-31,CtR-only,0.027673327369631198
2022-10-31,MDP,0.09037581792917551
2022-10-31,CtB-only,0.10409124190912665
2022-10-31,Main,0.049848183475119365
2022-11-30,EW,0.0
2022-11-30,GMV,0.024719976357868635
2022-11-30,CtR-only,0.015221653559360726
2022-11-30,MDP,0.07440452106567857
2022-11-30,CtB-only,0.07732536682941085
2022-11-30,Main,0.04320129507886813
2022-12-30,EW,0.0
2022-12-30,GMV,0.013784397743178503
2022-12-30,CtR-only,0.008534819141088168
2022-12-30,MDP,0.0328491254144906
2022-12-30,CtB-only,0.027064821842109465
2022-12-30,Main,0.014384339852547542
2023-01-31,EW,0.0
2023-01-31,GMV,0.018920414305943455
2023-01-31,CtR-only,0.005669393698446455
2023-01-31,MDP,0.024578411024894116
2023-01-31,CtB-only,0.01685430825044927
2023-01-31,Main,0.009323268102001799
2023-02-28,EW,0.0
2023-02-28,GMV,0.005999933721409795
2023-02-28,CtR-only,0.004927769629947329
2023-02-28,MDP,0.027994533907945728
2023-02-28,CtB-only,0.019566977574986013
2023-02-28,Main,0.008974772817931017
2023-03-31,EW,0.0
2023-03-31,GMV,0.020050052147613493
2023-03-31,CtR-only,0.019301778199249053
2023-03-31,MDP,0.07525870314382933
2023-03-31,CtB-only,0.10425865598941074
2023-03-31,Main,0.029766642827021936
2023-04-28,EW,0.0
2023-04-28,GMV,0.01049713368176213
2023-04-28,CtR-only,0.013530198823963266
2023-04-28,MDP,0.014044381478378946
2023-04-28,CtB-only,0.022037255271813553
2023-04-28,Main,0.010198836109483536
2023-05-31,EW,0.0
2023-05-31,GMV,0.013700455156365015
2023-05-31,CtR-only,0.029770271359541703
2023-05-31,MDP,0.047599052237631986
2023-05-31,CtB-only,0.037776717691271694
2023-05-31,Main,0.03761970584246967
2023-06-30,EW,0.0
2023-06-30,GMV,0.020751973150938845
2023-06-30,CtR-only,0.01772306529768905
2023-06-30,MDP,0.057389503718634424
2023-06-30,CtB-only,0.04328773882741149
2023-06-30,Main,0.03017269346822203
2023-07-31,EW,0.0
2023-07-31,GMV,0.0190154606712769
2023-07-31,CtR-only,0.018765791951441214
2023-07-31,MDP,0.08331143771278998
2023-07-31,CtB-only,0.07088885848745044
2023-07-31,Main,0.029959345291353218
2023-08-31,EW,0.0
2023-08-31,GMV,0.007302393193628648
2023-08-31,CtR-only,0.007603867744987107
2023-08-31,MDP,0.03869953796730513
2023-08-31,CtB-only,0.05239733002456715
2023-08-31,Main,0.01897212778931815
2023-09-29,EW,0.0
2023-09-29,GMV,0.03537692960433171
2023-09-29,CtR-only,0.017509131412415904
2023-09-29,MDP,0.07663164034122648
2023-09-29,CtB-only,0.07785903936715285
2023-09-29,Main,0.025757063776451157
2023-10-31,EW,0.0
2023-10-31,GMV,0.043872397443973817
2023-10-31,CtR-only,0.0334106222883846
2023-10-31,MDP,0.09695936531249182
2023-10-31,CtB-only,0.10180360569136399
2023-10-31,Main,0.0635917383201734
2023-11-30,EW,0.0
2023-11-30,GMV,0.027031602210247273
2023-11-30,CtR-only,0.03042872412154219
2023-11-30,MDP,0.12560881973002064
2023-11-30,CtB-only,0.1211463932449932
2023-11-30,Main,0.06566123869066393
2023-12-29,EW,0.0
2023-12-29,GMV,0.03587856863337473
2023-12-29,CtR-only,0.028183063142852287
2023-12-29,MDP,0.09589817709805827
2023-12-29,CtB-only,0.08446480746041737
2023-12-29,Main,0.04135026453089864
2024-01-31,EW,0.0
2024-01-31,GMV,0.01723632210694302
2024-01-31,CtR-only,0.011918350702753051
2024-01-31,MDP,0.04116020200228962
2024-01-31,CtB-only,0.04514657633859395
2024-01-31,Main,0.019092741919582483
2024-02-29,EW,0.0
2024-02-29,GMV,0.02763937142316493
2024-02-29,CtR-only,0.01642395524179161
2024-02-29,MDP,0.055132370183535125
2024-02-29,CtB-only,0.04886016265218486
2024-02-29,Main,0.03432866472314629
2024-03-28,EW,0.0
2024-03-28,GMV,0.09243096181559296
2024-03-28,CtR-only,0.033284608655128334
2024-03-28,MDP,0.045998244643210846
2024-03-28,CtB-only,0.045959113809831274
2024-03-28,Main,0.05265076054389405
2024-04-30,EW,0.0
2024-04-30,GMV,0.026227916236034505
2024-04-30,CtR-only,0.016976437068525696
2024-04-30,MDP,0.06953362592930146
2024-04-30,CtB-only,0.06319966408310607
2024-04-30,Main,0.03300966591518873
2024-05-31,EW,0.0
2024-05-31,GMV,0.032672494813264945
2024-05-31,CtR-only,0.017471629997305463
2024-05-31,MDP,0.10756460863734123
2024-05-31,CtB-only,0.06938731355513206
2024-05-31,Main,0.027360129607349272
2024-06-28,EW,0.0
2024-06-28,GMV,0.006887071692280979
2024-06-28,CtR-only,0.013905615340266693
2024-06-28,MDP,0.029184320753767142
2024-06-28,CtB-only,0.032895738972769456
2024-06-28,Main,0.02201423301788518
2024-07-31,EW,0.0
2024-07-31,GMV,0.004103428976676048
2024-07-31,CtR-only,0.017683790902170794
2024-07-31,MDP,0.030426507762311036
2024-07-31,CtB-only,0.03296998936389939
