date,strategy,obj_total,dr_term,db_term,smooth_term,l2_term,band_penalty
2021-01-29,CtR-only,0.00019424143468484592,1.0263101903625196e-07,0.0,0.0,0.00019413880366580966,0.0
2021-01-29,CtB-only,0.0011366018228629261,0.0,0.0008665971601751096,0.0,0.00027000466268781647,0.0
2021-01-29,Main,0.008781562453449788,0.007369648220275237,0.01486341587598405,0.0,0.00022927353403586563,0.0011826406991386853
2021-02-26,CtR-only,0.00019442170019012942,3.480881111459321e-07,0.0,2.332780468887163e-06,0.00019174083161009633,0.0
2021-02-26,CtB-only,0.0009826685918932513,0.0,0.0007036062589839422,1.182412251228278e-05,0.00026723821039702645,0.0
2021-02-26,Main,0.008857850271927117,0.00747394631571569,0.01480240533712018,3.889765458898302e-06,0.00022685933965250747,0.0011531548511000194
2021-03-31,CtR-only,0.0004079368508426662,3.327760715925155e-05,0.0,0.00016363725372988116,0.0002110219899535335,0.0
2021-03-31,CtB-only,0.002016461262079673,0.0,0.001304431112060743,0.00041131917262218976,0.0003007109773967401,0.0
2021-03-31,Main,0.008673376737006468,0.006767593524293379,0.015271980971580319,0.00025983541020368036,0.0002562586342741605,0.0013896891682352482
2021-04-30,CtR-only,0.0003099113803021854,1.7205824871785282e-05,0.0,8.293943042394388e-05,0.00020976612500645626,0.0
2021-04-30,CtB-only,0.0011890910340269837,0.0,0.0007618316700958075,0.00011260023920852735,0.0003146591247226487,0.0
2021-04-30,Main,0.007255304642557747,0.005601436044148726,0.015068304057267671,0.00011041033644052223,0.00025907296112270204,0.0012843853008457967
2021-05-28,CtR-only,0.00022078072484659075,2.1764694370948205e-06,0.0,1.061168087610262e-05,0.0002079925745333933,0.0
2021-05-28,CtB-only,0.0009005510887189208,0.0,0.0005578020419230566,3.2153399637536966e-05,0.00031059564715832713,0.0
2021-05-28,Main,0.007352937225451163,0.005831909067738816,0.015000429230562391,1.4516905763571842e-05,0.0002562966274556358,0.0012502146244931394
2021-06-30,CtR-only,0.0003417604495645416,3.0411178010413956e-05,0.0,8.804937847646172e-05,0.00022329989307766593,0.0
2021-06-30,CtB-only,0.0008971741842004164,0.0,0.0003368489030220503,0.00020958876574696407,0.00035073651543140186,0.0
2021-06-30,Main,0.00625659272386354,0.004666935429334005,0.01472445578649504,0.0001888555264774353,0.0002847776441247767,0.0011160241239273234
2021-07-30,CtR-only,0.00022576990937032228,9.65298125773859e-07,0.0,2.0664801445277896e-06,0.00022273813110002062,0.0
2021-07-30,CtB-only,0.0009118768751662093,0.0,0.0005426268593542302,2.268031585534878e-05,0.0003465696999566303,0.0
2021-07-30,Main,0.006267947536397836,0.004822849268179739,0.014820752726794955,4.7601463531396294e-06,0.0002783552792199072,0.0011619828426450499
2021-08-31,CtR-only,0.00022824694148486114,1.5063688456652885e-06,0.0,2.2206888599126108e-06,0.00022451988377928325,0.0
2021-08-31,CtB-only,0.000698858215417571,0.0,0.0003158355181429104,2.5000485164206256e-05,0.00035802221211045447,0.0
2021-08-31,Main,0.006481155736505928,0.0049699851780641985,0.014950066578768108,3.564556574130354e-06,0.0002824480451557495,0.0012251579567118499
2021-09-30,CtR-only,0.00022641971192216196,4.186199306946017e-07,0.0,6.935254520863177e-06,0.00021906583747060418,0.0
