date,strategy,asset,weight
2021-03-31,CtR-only,SPY,0.04183284472294532
2021-03-31,CtR-only,VEA,0.04640689411875058
2021-03-31,CtR-only,VWO,0.22654154638076557
2021-03-31,CtR-only,IEF,0.06866806567869506
2021-03-31,CtR-only,SHY,0.35630672549837944
2021-03-31,CtR-only,TIP,0.028707498370319717
2021-03-31,CtR-only,LQD,0.14397756365591077
2021-03-31,CtR-only,VNQ,0.03244605790118295
2021-03-31,CtR-only,GLD,0.02645445322199907
2021-03-31,CtR-only,DBC,0.028658350451051647
2021-03-31,MDP,SPY,0.05037522355643338
2021-03-31,MDP,VEA,0.03679768252679028
2021-03-31,MDP,VWO,0.3050161872921611
2021-03-31,MDP,IEF,0.0
2021-03-31,MDP,SHY,0.4367254794098712
2021-03-31,MDP,TIP,0.0
2021-03-31,MDP,LQD,0.09846670068540096
2021-03-31,MDP,VNQ,0.024898535908592718
2021-03-31,MDP,GLD,0.04282216573902063
2021-03-31,MDP,DBC,0.004898024881729784
2021-03-31,CtB-only,SPY,0.05180881800418992
2021-03-31,CtB-only,VEA,0.03733643905160359
2021-03-31,CtB-only,VWO,0.30373473264912265
2021-03-31,CtB-only,IEF,0.0
2021-03-31,CtB-only,SHY,0.4389021286479982
2021-03-31,CtB-only,TIP,0.0
2021-03-31,CtB-only,LQD,0.09697858328584152
2021-03-31,CtB-only,VNQ,0.028197958298283667
2021-03-31,CtB-only,GLD,0.039080550412456186
2021-03-31,CtB-only,DBC,0.003960789650504132
2021-03-31,Main,SPY,0.04194379258782212
2021-03-31,Main,VEA,0.042413423755590186
2021-03-31,Main,VWO,0.24293488134830385
2021-03-31,Main,IEF,0.0427390361236543
2021-03-31,Main,SHY,0.4159762261665268
2021-03-31,Main,TIP,0.019085001593230694
2021-03-31,Main,LQD,0.1306534047612228
2021-03-31,Main,VNQ,0.022826901214569338
2021-03-31,Main,GLD,0.02251958498011374
2021-03-31,Main,DBC,0.018907747468966153
2021-04-30,EW,SPY,0.1
2021-04-30,EW,VEA,0.1
2021-04-30,EW,VWO,0.1
2021-04-30,EW,IEF,0.1
2021-04-30,EW,SHY,0.1
2021-04-30,EW,TIP,0.1
2021-04-30,EW,LQD,0.1
2021-04-30,EW,VNQ,0.1
2021-04-30,EW,GLD,0.1
2021-04-30,EW,DBC,0.1
2021-04-30,GMV,SPY,0.006431451961052486
2021-04-30,GMV,VEA,0.0
2021-04-30,GMV,VWO,0.15400109809352883
2021-04-30,GMV,IEF,1.5932642756387952e-18
2021-04-30,GMV,SHY,0.6633082061591266
2021-04-30,GMV,TIP,0.0
2021-04-30,GMV,LQD,0.14855971796975787
2021-04-30,GMV,VNQ,0.023245755483819946
2021-04-30,GMV,GLD,0.0044537703327143015
2021-04-30,GMV,DBC,0.0
2021-04-30,CtR-only,SPY,0.03921773418576185
2021-04-30,CtR-only,VEA,0.045381065495819044
2021-04-30,CtR-only,VWO,0.1914618777907258
2021-04-30,CtR-only,IEF,0.08157286353285738
2021-04-30,CtR-only,SHY,0.37111838618699694
2021-04-30,CtR-only,TIP,0.03134740708105302
2021-04-30,CtR-only,LQD,0.1454205384265852
2021-04-30,CtR-only,VNQ,0.035199925252643365
2021-04-30,CtR-only,GLD,0.03066847496814375
2021-04-30,CtR-only,DBC,0.02861172707941353
2021-04-30,MDP,SPY,0.0428797671646229
2021-04-30,MDP,VEA,0.0393659207209974
2021-04-30,MDP,VWO,0.2792904587624634
2021-04-30,MDP,IEF,0.0
2021-04-30,MDP,SHY,0.47145210998018733
2021-04-30,MDP,TIP,0.0
2021-04-30,MDP,LQD,0.08271559428311444
2021-04-30,MDP,VNQ,0.03798678394643322
2021-04-30,MDP,GLD,0.04287811128503744
2021-04-30,MDP,DBC,0.003431253857143831
2021-04-30,CtB-only,SPY,0.044038598875822475
2021-04-30,CtB-only,VEA,0.04014962331737784
2021-04-30,CtB-only,VWO,0.27785612954735894
2021-04-30,CtB-only,IEF,0.0
2021-04-30,CtB-only,SHY,0.4731686943155593
2021-04-30,CtB-only,TIP,0.0
2021-04-30,CtB-only,LQD,0.08233586729783046
2021-04-30,CtB-only,VNQ,0.03900245806488307
2021-04-30,CtB-only,GLD,0.04135609758024993
2021-04-30,CtB-only,DBC,0.002092531000918
2021-04-30,Main,SPY,0.03690631378981678
2021-04-30,Main,VEA,0.04479302099341071
2021-04-30,Main,VWO,0.20444721960493947
2021-04-30,Main,IEF,0.05309943898510607
2021-04-30,Main,SHY,0.43882239836612574
2021-04-30,Main,TIP,0.020886177681870677
2021-04-30,Main,LQD,0.1273448800633743
2021-04-30,Main,VNQ,0.026266271260739844
2021-04-30,Main,GLD,0.028878715755408232
2021-04-30,Main,DBC,0.01855556349920811
2021-05-28,EW,SPY,0.1
2021-05-28,EW,VEA,0.1
2021-05-28,EW,VWO,0.1
2021-05-28,EW,IEF,0.1
2021-05-28,EW,SHY,0.1
2021-05-28,EW,TIP,0.1
2021-05-28,EW,LQD,0.1
2021-05-28,EW,VNQ,0.1
2021-05-28,EW,GLD,0.1
2021-05-28,EW,DBC,0.1
2021-05-28,GMV,SPY,0.01005239063096881
2021-05-28,GMV,VEA,2.766371518497397e-18
2021-05-28,GMV,VWO,0.15145004715726934
2021-05-28,GMV,IEF,0.0
2021-05-28,GMV,SHY,0.6649986378250954
2021-05-28,GMV,TIP,0.0
2021-05-28,GMV,LQD,0.14852303025293076
2021-05-28,GMV,VNQ,0.018192044173263165
2021-05-28,GMV,GLD,0.006783849960472594
2021-05-28,GMV,DBC,1.2297217771496261e-18
2021-05-28,CtR-only,SPY,0.04273451111221147
2021-05-28,CtR-only,VEA,0.044211688795038506
2021-05-28,CtR-only,VWO,0.17835174876935672
2021-05-28,CtR-only,IEF,0.08522577697732457
2021-05-28,CtR-only,SHY,0.3735723753363549
2021-05-28,CtR-only,TIP,0.031995435782739515
2021-05-28,CtR-only,LQD,0.1461126925875753
2021-05-28,CtR-only,VNQ,0.035622414482658994
2021-05-28,CtR-only,GLD,0.0331136628799841
2021-05-28,CtR-only,DBC,0.02905969327675598
2021-05-28,MDP,SPY,0.053226075259037026
2021-05-28,MDP,VEA,0.03625171693261729
2021-05-28,MDP,VWO,0.259799943197216
2021-05-28,MDP,IEF,0.0
2021-05-28,MDP,SHY,0.4739972064003231
2021-05-28,MDP,TIP,0.0
2021-05-28,MDP,LQD,0.0950481561532859
2021-05-28,MDP,VNQ,0.03072831155578422
2021-05-28,MDP,GLD,0.04703547468003039
