date,strategy,asset,ctr
2026-04-19,EW,A1,0.025915784899877996
2026-04-19,EW,A2,0.025574787730142753
2026-04-19,EW,A3,0.024551796220937047
2026-04-19,EW,A4,0.021482821693319915
2026-04-19,EW,A5,0.019777835844643734
2026-04-19,GMV,A1,0.016756305954767493
2026-04-19,GMV,A2,0.016141173596433175
2026-04-19,GMV,A3,0.01700552747227513
2026-04-19,GMV,A4,0.025492698221372456
2026-04-19,GMV,A5,0.0396554076272245
2026-04-19,CtR-only,A1,0.027885698722658416
2026-04-19,CtR-only,A2,0.023870335801929134
2026-04-19,CtR-only,A3,0.022198130668369065
2026-04-19,CtR-only,A4,0.021797181938766043
2026-04-19,CtR-only,A5,0.021293589848372946
2026-04-19,MDP,A1,0.0311206095972589
2026-04-19,MDP,A2,0.025854109201585283
2026-04-19,MDP,A3,0.020705636960995137
2026-04-19,MDP,A4,0.022842344960808402
2026-04-19,MDP,A5,0.017435664762504903
2026-04-19,CtB-only,A1,0.03701069305794022
2026-04-19,CtB-only,A2,0.026065426229621016
2026-04-19,CtB-only,A3,0.01916509295424619
2026-04-19,CtB-only,A4,0.020762121894635666
2026-04-19,CtB-only,A5,0.016040548777141162
2026-04-19,Main,A1,0.02788569872250867
2026-04-19,Main,A2,0.02387033580198294
2026-04-19,Main,A3,0.022198130668262487
2026-04-19,Main,A4,0.02179718193873936
2026-04-19,Main,A5,0.021293589848565945
