strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate,failure_rate
CtB-only,0.0,0.0,,0.0,0.4824103521148516,0.4824103521148516,0.00954646162386971,0.0010033336474982784,0.0,0.0
CtR-only,0.0,0.0,,0.0,0.5986157440769184,0.5986157440769184,0.0010508685712101997,0.0006626169866397957,0.0,0.0
EW,0.0,0.0,,0.0,0.6,0.6,0.0010596944294213083,0.0010851673262279329,0.0,0.0
GMV,0.0,0.0,,0.0,0.8281240810509779,0.8281240810509779,0.015320085304767701,0.017772888391793848,0.0,0.0
MDP,0.0,0.0,,0.0,0.5430675958135078,0.5430675958135078,0.0039021584137838485,8.391279254774707e-10,0.0,0.0
Main,0.0,0.0,,0.0,0.5986157440779559,0.5986157440779559,0.0010508685711464866,0.0006626169866799498,0.0,0.0
