date,strategy,asset,ctb
2026-04-19,EW,A1,0.6478946224969498
2026-04-19,EW,A2,0.6835149530404584
2026-04-19,EW,A3,0.708749307862342
2026-04-19,EW,A4,0.679346471181662
2026-04-19,EW,A5,0.6992520921470976
2026-04-19,GMV,A1,0.5752556463380982
2026-04-19,GMV,A2,0.6149739409736017
2026-04-19,GMV,A3,0.6642479909073082
2026-04-19,GMV,A4,0.727646904356401
2026-04-19,GMV,A5,0.8135343575847811
2026-04-19,CtR-only,A1,0.6617694327898178
2026-04-19,CtR-only,A2,0.6715325208128202
2026-04-19,CtR-only,A3,0.694160011140042
2026-04-19,CtR-only,A4,0.6825223217570684
2026-04-19,CtR-only,A5,0.7078974037377489
2026-04-19,MDP,A1,0.6810768794711559
2026-04-19,MDP,A2,0.6810973638656564
2026-04-19,MDP,A3,0.6811227080694586
2026-04-19,MDP,A4,0.6810878495906166
2026-04-19,MDP,A5,0.6811219687219606
2026-04-19,CtB-only,A1,0.7150586030683671
2026-04-19,CtB-only,A2,0.6780084201165195
2026-04-19,CtB-only,A3,0.666060195842333
2026-04-19,CtB-only,A4,0.66039279650876
2026-04-19,CtB-only,A5,0.6642718216135728
2026-04-19,Main,A1,0.6617694327888561
2026-04-19,Main,A2,0.6715325208132507
2026-04-19,Main,A3,0.6941600111395432
2026-04-19,Main,A4,0.6825223217572033
2026-04-19,Main,A5,0.7078974037389737
