date,strategy,turnover
2026-04-19,EW,0.6
2026-04-19,GMV,0.8281240810509779
2026-04-19,CtR-only,0.5986157440769184
2026-04-19,MDP,0.5430675958135078
2026-04-19,CtB-only,0.4824103521148516
2026-04-19,Main,0.5986157440779559
