date,strategy,asset,weight
2026-04-19,EW,A1,0.2
2026-04-19,EW,A2,0.2
2026-04-19,EW,A3,0.2
2026-04-19,EW,A4,0.2
2026-04-19,EW,A5,0.2
2026-04-19,GMV,A1,0.1456422554166397
2026-04-19,GMV,A2,0.14029570405787134
2026-04-19,GMV,A3,0.14780843899006516
2026-04-19,GMV,A4,0.22157722268924857
2026-04-19,GMV,A5,0.34467637884617525
2026-04-19,CtR-only,A1,0.2106904409674894
2026-04-19,CtR-only,A2,0.19000168699405134
2026-04-19,CtR-only,A3,0.1846274131499028
2026-04-19,CtR-only,A4,0.20198238006967192
2026-04-19,CtR-only,A5,0.21269807881888447
2026-04-19,MDP,A1,0.22846620209324603
2026-04-19,MDP,A2,0.20290201373083128
2026-04-19,MDP,A3,0.17551029985560454
2026-04-19,MDP,A4,0.21211312819291064
2026-04-19,MDP,A5,0.18100835612740745
2026-04-19,CtB-only,A1,0.25879482394257414
2026-04-19,CtB-only,A2,0.20549237969369172
2026-04-19,CtB-only,A3,0.16612569922730366
2026-04-19,CtB-only,A4,0.19883800850704236
2026-04-19,CtB-only,A5,0.17074908862938803
2026-04-19,Main,A1,0.2106904409666642
2026-04-19,Main,A2,0.19000168699435782
2026-04-19,Main,A3,0.18462741314914904
2026-04-19,Main,A4,0.20198238006938468
2026-04-19,Main,A5,0.21269807882044423
