date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2026-04-19,EW,1,0,0,0.0,0,3,success,0.0
2026-04-19,GMV,1,0,8,4.660482904091923e-08,0,3,success,0.023606557377056386
2026-04-19,CtR-only,1,39,1,6.753065541863882e-07,0,3,success,0.0003609317829377402
2026-04-19,MDP,1,28,1,5.700883559432945e-07,0,3,success,-1.7316898723418424
2026-04-19,CtB-only,1,51,1,7.471878643376486e-07,0,3,success,0.0003609268006324599
2026-04-19,Main,1,38,1,5.438685097436677e-07,0,3,success,0.00036093178291157193
