strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate,failure_rate
CtB-only,0.0,0.0,,0.0,1.0,1.0,2.6691533045610814e-08,2.0021132494712352e-08,0.0,0.0
CtR-only,0.0,0.0,,0.0,1.0,1.0,1.501724616563173e-08,1.1263981556262883e-08,0.0,0.0
EW,0.0,0.0,,0.0,1.0,1.0,0.043202536662704794,0.03448275862068967,0.0,0.0
GMV,0.0,0.0,,0.0,1.0,1.0,0.05276372672554383,0.03825143235444796,0.0,0.0
MDP,0.0,0.0,,0.0,1.0,1.0,8.893283264925767e-09,6.6704386998692744e-09,0.0,0.0
Main,0.0,0.0,,0.0,1.0,1.0,1.5005412992840954e-08,1.1255105126942896e-08,0.0,0.0
