date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2026-04-19,EW,1,0,0,0.0,0,5,success,0.0
2026-04-19,GMV,1,0,4,4.5236053827798e-12,0,5,success,0.018120805369127517
2026-04-19,CtR-only,1,53,2,1.7206906741578035e-13,0,5,success,0.00020414902988555154
2026-04-19,MDP,1,31,2,1.570092458683775e-10,0,5,success,-1.375895917773836
2026-04-19,CtB-only,1,24,1,3.243558915737384e-13,0,5,success,0.00021285091368835213
2026-04-19,Main,1,51,2,3.151654686739702e-13,0,5,success,0.0002041490298855515
