date,strategy,asset,ctr
2026-04-19,EW,A1,0.03307542501370766
2026-04-19,EW,A2,0.03307542501370766
2026-04-19,EW,A3,0.03307542501370766
2026-04-19,EW,B1,0.02052957414643924
2026-04-19,EW,B2,0.02052957414643924
2026-04-19,GMV,A1,0.018972378234820914
2026-04-19,GMV,A2,0.018972378234820893
2026-04-19,GMV,A3,0.0189723782348209
2026-04-19,GMV,B1,0.0388482030522523
2026-04-19,GMV,B2,0.03884820305225233
2026-04-19,CtR-only,A1,0.02734313371544254
2026-04-19,CtR-only,A2,0.027343133715441174
2026-04-19,CtR-only,A3,0.027343133715445583
2026-04-19,CtR-only,B1,0.027333124447243888
2026-04-19,CtR-only,B2,0.027333124447275328
2026-04-19,MDP,A1,0.023054688169079362
2026-04-19,MDP,A2,0.023054688166330158
2026-04-19,MDP,A3,0.023054688184196547
2026-04-19,MDP,B1,0.03298366042995974
2026-04-19,MDP,B2,0.032983660455047574
2026-04-19,CtB-only,A1,0.023053843418296013
2026-04-19,CtB-only,A2,0.023053843418312528
2026-04-19,CtB-only,A3,0.023053843418230403
2026-04-19,CtB-only,B1,0.032984823070201376
2026-04-19,CtB-only,B2,0.03298482307038623
2026-04-19,Main,A1,0.027343133715435113
2026-04-19,Main,A2,0.027343133715435296
2026-04-19,Main,A3,0.027343133715438447
2026-04-19,Main,B1,0.027333124447284345
2026-04-19,Main,B2,0.02733312444725205
