strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate,failure_rate
CtB-only,0.0,0.0,,0.0,1.0,1.0,0.0032405917299960924,4.6543295301303e-09,0.0,0.0
CtR-only,0.0,0.0,,0.0,1.0,1.0,3.2169663090253072e-09,0.006474706868278419,0.0,0.0
EW,0.0,0.0,,0.0,1.0,1.0,0.004798730914138405,0.032923238015639664,0.0,0.0
GMV,0.0,0.0,,0.0,1.0,1.0,0.013080491869735587,0.006505076451547806,0.0,0.0
MDP,0.0,0.0,,0.0,1.0,1.0,0.0032392717782742677,7.137977203763729e-09,0.0,0.0
Main,0.0,0.0,,0.0,1.0,1.0,3.216966299126151e-09,0.006474706868258391,0.0,0.0
