strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate,failure_rate
CtB-only,0.0,0.0,,0.0,1.0,1.0,3.3333333316746668e-15,1.152476478721322e-30,0.0,0.0
CtR-only,0.0,0.0,,0.0,1.0,1.0,3.333333332599853e-15,1.2449211160519093e-30,0.0,0.0
EW,0.0,0.0,,0.0,0.9999999999999999,0.9999999999999999,3.3333333372257816e-15,4.930380657631324e-32,0.0,0.0
GMV,0.0,0.0,,0.0,0.9999999999999999,0.9999999999999999,3.3333333372257816e-15,4.930380657631324e-32,0.0,0.0
MDP,0.0,0.0,,0.0,1.0,1.0,3.3333334481170035e-15,2.899716408111647e-22,0.0,0.0
Main,0.0,0.0,,0.0,1.0,1.0,3.333333332599853e-15,1.2449211160519093e-30,0.0,0.0
