date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2026-04-19,EW,1,0,0,0.0,0,5,success,0.0
2026-04-19,GMV,1,0,15,0.00024033034998469278,0,4,success,0.007841287079950056
2026-04-19,CtR-only,1,137,2,2.58390934583236e-12,0,5,success,0.000208912258222684
2026-04-19,MDP,1,129,2,4.2711132545550577e-10,0,5,success,-1.386541577597815
2026-04-19,CtB-only,1,278,2,1.7090161262576642e-12,0,5,success,0.00020889655992549508
2026-04-19,Main,1,137,2,2.58390934583236e-12,0,5,success,0.000208912258222684
