date,strategy,period_return,wealth,drawdown
2021-02-26,Main,-0.0066149447357671,0.9933850552642329,0.0
2021-03-31,Main,-0.0055538639594259,0.9878679298079686,-0.00555386395942592
2021-04-30,Main,0.0137043612184948,1.0014060287542237,0.0
2021-05-28,Main,0.0094698689102505,1.010889212572461,0.0
2021-06-30,Main,0.0033522818160101,1.0142779980977683,0.0
2021-07-30,Main,0.0105927779239052,1.025022019684721,0.0
2021-08-31,Main,0.0005345881021283,1.025569984260864,0.0
2021-09-30,Main,-0.0087036977825849,1.0166437330629672,-0.008703697782584952
2021-10-29,Main,0.0087890969837758,1.0255791134308054,0.0
2021-11-30,Main,-0.0056622491571235,1.0197720289602183,-0.0056622491571235445
2021-12-31,Main,0.010936475931357,1.030924741210413,0.0
2022-01-31,Main,-0.0150145725253603,1.015445846915321,-0.015014572525360315
2022-02-28,Main,-0.0019766258103983,1.0134386904452464,-0.016961520144172848
2022-03-31,Main,-0.0068363005585395,1.00651051895971,-0.023681866653076922
2022-04-29,Main,-0.0281210926553343,0.9782063433974755,-0.05113699934200888
2022-05-31,Main,0.0029157298863131,0.9810585288679006,-0.0483703711329736
2022-06-30,Main,-0.0287594537098304,0.9528438215202899,-0.07573871939327792
2022-07-29,Main,0.0200154293096339,0.9719153996730507,-0.05723923306766232
2022-08-31,Main,-0.0242332583754554,0.9483627226736897,-0.0800853983189761
2022-09-30,Main,-0.0470172730405127,0.9037732936002968,-0.12333727432016728
2022-10-31,Main,0.006378846095846,0.9095383243457089,-0.11774517771509085
2022-11-30,Main,0.0378301240088789,0.943946271946535,-0.08436936838062126
2022-12-30,Main,-0.0088323165577709,0.9356090396591755,-0.09245650796907534
2023-01-31,Main,0.0310308200033682,0.9646417553623636,-0.06429468922263548
2023-02-28,Main,-0.0258524563063561,0.9397033965305714,-0.08848496988513266
2023-03-31,Main,0.025138941858368,0.9633265455800645,-0.0655704465400464
2023-04-28,Main,0.0039116849687548,0.9670947755484125,-0.06191525250141683
2023-05-31,Main,-0.0158558004088207,0.9517607138109035,-0.07678933702431334
2023-06-30,Main,0.0073250787209819,0.9587324359631064,-0.07002674624196648
2023-07-31,Main,0.016196115976423,0.9742601776863234,-0.05496479156912992
2023-08-31,Main,-0.0087056538295342,0.9657786058394858,-0.06319194095045078
2023-09-29,Main,-0.0177605050612829,0.9486258900223948,-0.07983012522465094
2023-10-31,Main,-0.0053315475589061,0.9435682459741308,-0.08473605467428846
2023-11-30,Main,0.0338828715951755,0.9755390476937573,-0.05372428393912354
