date,strategy,D_R,D_B,band_active,band_violation,main_band_active
2021-01-29,CtR-only,1.0263101903625197e-07,0.081015705649645,0,0.0,
2021-01-29,Main,0.004525226311281,0.022709491145767,1,0.002709491145767,
2021-02-26,CtR-only,3.480881111459321e-07,0.0824358034192172,0,0.0,
2021-02-26,Main,0.0046410570742326,0.0226896157447704,1,0.0026896157447704,
2021-03-31,CtR-only,3.327760715925155e-05,0.0706925496737655,0,0.0,
2021-03-31,Main,0.0038932117390631,0.0228374478741909,1,0.0028374478741909,
2021-04-30,CtR-only,1.7205824871785282e-05,0.0569403702573081,0,0.0,
2021-04-30,Main,0.0028575449028508,0.0225976078644279,1,0.0025976078644279,
2021-05-28,CtR-only,2.1764694370948205e-06,0.0571682900286492,0,0.0,
2021-05-28,Main,0.0030345250050673,0.0226436712235672,1,0.0026436712235672,
2021-06-30,CtR-only,3.041117801041396e-05,0.0498048312218452,0,0.0,
2021-06-30,Main,0.0021388223454892,0.0224283167371921,1,0.0024283167371921,
2021-07-30,CtR-only,9.65298125773859e-07,0.0479258569034267,0,0.0,
2021-07-30,Main,0.0022073905927927,0.0224051793588737,1,0.0024051793588737,
2021-08-31,CtR-only,1.5063688456652883e-06,0.0486497361170669,0,0.0,
2021-08-31,Main,0.0023050979063755,0.0225049786941462,1,0.0025049786941462,
2021-09-30,CtR-only,4.186199306946017e-07,0.0435957071747314,0,0.0,
2021-09-30,Main,0.0017304845482712,0.02210148454051,1,0.00210148454051,
2021-10-29,CtR-only,3.356978176868957e-07,0.0386584094936112,0,0.0,
2021-10-29,Main,0.0011165597524224,0.0216335475945907,1,0.0016335475945907,
2021-11-30,CtR-only,1.3294659875911385e-06,0.0369837931491181,0,0.0,
2021-11-30,Main,0.0010516713889994,0.0216226975096062,1,0.0016226975096062,
2021-12-31,CtR-only,2.067896044227561e-06,0.0390570070122289,0,0.0,
2021-12-31,Main,0.0011537977469935,0.0218523102247191,1,0.0018523102247191,
2022-01-31,CtR-only,4.755767817199925e-07,0.0393970440585808,0,0.0,
2022-01-31,Main,0.0013851014286389,0.0221100920906542,1,0.0021100920906542,
2022-02-28,CtR-only,1.5291570416697608e-06,0.0303713159535176,0,0.0,
2022-02-28,Main,0.000539952515031,0.0212163756444225,1,0.0012163756444225,
2022-03-31,CtR-only,3.0313515382072905e-05,0.0196135642193488,0,0.0,
2022-03-31,Main,6.887660827119243e-05,0.0189755918855993,0,0.0,
2022-04-29,CtR-only,3.471760010445024e-07,0.0220630382269189,0,0.0,
2022-04-29,Main,1.4474361838429296e-05,0.0201827127653242,1,0.0001827127653242,
2022-05-31,CtR-only,2.32891294876802e-06,0.0225640730077982,0,0.0,
2022-05-31,Main,1.8923643671812023e-05,0.0202412978671076,1,0.0002412978671076,
2022-06-30,CtR-only,2.217184916071761e-06,0.0308371304283533,0,0.0,
2022-06-30,Main,0.0004274544009371,0.021186618094086,1,0.001186618094086,
2022-07-29,CtR-only,1.5414920843069362e-06,0.0330862212799466,0,0.0,
2022-07-29,Main,0.0006695672180661,0.0214996542231568,1,0.0014996542231568,
2022-08-31,CtR-only,1.5369951614284837e-06,0.0372532890172015,0,0.0,
2022-08-31,Main,0.0011086137876671,0.0219372929549157,1,0.0019372929549157,
2022-09-30,CtR-only,4.037132022176134e-06,0.0365601539915812,0,0.0,
2022-09-30,Main,0.0011036051291302,0.0220410971445889,1,0.0020410971445889,
2022-10-31,CtR-only,5.028623529528747e-06,0.0386218375641456,0,0.0,
2022-10-31,Main,0.0014002280041365,0.0223754508328904,1,0.0023754508328904,
2022-11-30,CtR-only,1.8970917936440595e-06,0.0422582605443247,0,0.0,
2022-11-30,Main,0.0020341826790695,0.0229347237629353,1,0.0029347237629353,
2022-12-30,CtR-only,6.261140368714362e-07,0.0419714642437224,0,0.0,
2022-12-30,Main,0.0019997916893143,0.0227859654572215,1,0.0027859654572215,
2023-01-31,CtR-only,5.887056857613386e-07,0.0429665861695031,0,0.0,
2023-01-31,Main,0.002224188606728,0.023042104265818,1,0.003042104265818,
2023-02-28,CtR-only,7.863532373428757e-07,0.0433858592141538,0,0.0,
2023-02-28,Main,0.0022712808702023,0.0230298814327858,1,0.0030298814327858,
2023-03-31,CtR-only,6.649415178162153e-08,0.0405523608627374,0,0.0,
2023-03-31,Main,0.0022481150051731,0.0233884856997601,1,0.0033884856997601,
2023-04-28,CtR-only,2.39278439849736e-08,0.0413390281208762,0,0.0,
2023-04-28,Main,0.0025403302048896,0.0237714196055165,1,0.0037714196055165,
2023-05-31,CtR-only,5.609996687721821e-07,0.0428886041418846,0,0.0,
2023-05-31,Main,0.0028865103400919,0.0239488337822332,1,0.0039488337822332,
2023-06-30,CtR-only,1.5795297233161177e-07,0.0395382173151642,0,0.0,
2023-06-30,Main,0.0023365181944976,0.0237283402144415,1,0.0037283402144415,
2023-07-31,CtR-only,2.232730391266074e-07,0.0377102641320023,0,0.0,
2023-07-31,Main,0.0019551831467047,0.0233490228129093,1,0.0033490228129093,
2023-08-31,CtR-only,6.144696010185935e-07,0.034146786479996,0,0.0,
2023-08-31,Main,0.0014060281861564,0.0230299168545428,1,0.0030299168545428,
2023-09-29,CtR-only,1.1762593442794837e-07,0.0374295238950927,0,0.0,
2023-09-29,Main,0.0018980439360073,0.0232669539978455,1,0.0032669539978455,
2023-10-31,CtR-only,7.503796735773689e-07,0.0349446115473066,0,0.0,
2023-10-31,Main,0.0013283212918411,0.0223616883405544,1,0.0023616883405544,
2023-11-30,CtR-only,7.13630753234247e-07,0.0343895783526074,0,0.0,
2023-11-30,Main,0.0010742662323044,0.0220768968043281,1,0.0020768968043281,
2023-12-29,CtR-only,2.3472949480309243e-07,0.0392629518641062,0,0.0,
2023-12-29,Main,0.0017485709556264,0.0227054823338494,1,0.0027054823338494,
2024-01-31,CtR-only,3.320332722582849e-08,0.0379547269995911,0,0.0,
2024-01-31,Main,0.0016374192088931,0.0226852100566124,1,0.0026852100566124,
2024-02-29,CtR-only,9.371293348633894e-08,0.0414501942213535,0,0.0,
2024-02-29,Main,0.0022450077537748,0.0233214645335099,1,0.0033214645335099,
2024-03-28,CtR-only,5.577964012601537e-06,0.049802699419921,0,0.0,
2024-03-28,Main,0.0034647031773893,0.0238997659803943,1,0.0038997659803943,
2024-04-30,CtR-only,1.3846561128686224e-06,0.0566629707798614,0,0.0,
2024-04-30,Main,0.0043578291296575,0.0239666456847527,1,0.0039666456847527,
2024-05-31,CtR-only,1.9411562457434736e-06,0.0607115916828248,0,0.0,
2024-05-31,Main,0.004739906990806,0.0239131708153595,1,0.0039131708153595,
2024-06-28,CtR-only,6.628167251503437e-07,0.0609129415916747,0,0.0,
2024-06-28,Main,0.0045796767060688,0.0237081676597456,1,0.0037081676597456,
2024-07-31,CtR-only,1.0114301297269856e-06,0.0603073417863642,0,0.0,
2024-07-31,Main,0.0044771773082097,0.0237006160579791,1,0.0037006160579791,
2024-08-30,CtR-only,2.641653138777703e-07,0.0556958824759479,0,0.0,
2024-08-30,Main,0.0038352718216996,0.0234935612888923,1,0.0034935612888923,
2024-09-30,CtR-only,3.3442993114370266e-07,0.0488528948244293,0,0.0,
2024-09-30,Main,0.0029080466666556,0.0231698740185667,1,0.0031698740185667,
2024-10-31,CtR-only,4.693089683651316e-07,0.0503040670006608,0,0.0,
2024-10-31,Main,0.0034696245357983,0.0237369362045168,1,0.0037369362045168,
2024-11-29,CtR-only,7.574640880626938e-07,0.0481095592001618,0,0.0,
2024-11-29,Main,0.0037456821070829,0.0245979772852349,1,0.0045979772852349,
2024-12-31,CtR-only,1.2549423823432595e-06,0.0499031669605105,0,0.0,
2024-12-31,Main,0.0039569453323188,0.0245468650270487,1,0.0045468650270487,
2025-01-31,CtR-only,8.256589469532955e-07,0.0524740547540218,0,0.0,
2025-01-31,Main,0.0042809194629504,0.0244827412784905,1,0.0044827412784905,
2025-02-28,CtR-only,1.3162258651739574e-06,0.0474835210005881,0,0.0,
2025-02-28,Main,0.0030175267767592,0.0234914430421129,1,0.0034914430421129,
2025-03-31,CtR-only,1.627691464760826e-06,0.0413999344648942,0,0.0,
2025-03-31,Main,0.001935883616776,0.0227209549837073,1,0.0027209549837073,
2025-04-30,CtR-only,1.4603501368155357e-05,0.050190858842658,0,0.0,
2025-04-30,Main,0.002763598347423,0.0226168371694793,1,0.0026168371694793,
2025-05-30,CtR-only,8.723180692592218e-07,0.0487387239629651,0,0.0,
2025-05-30,Main,0.0024431775241809,0.0225358155643909,1,0.0025358155643909,
2025-06-30,CtR-only,1.804037122631113e-07,0.0509113362481813,0,0.0,
2025-06-30,Main,0.0025381383608741,0.0224622434975304,1,0.0024622434975304,
2025-07-31,CtR-only,5.7749064928625226e-08,0.0501781873847303,0,0.0,
2025-07-31,Main,0.0023451495332737,0.0222946783661037,1,0.0022946783661037,
2025-08-29,CtR-only,2.310147520157471e-07,0.0528682326130322,0,0.0,
2025-08-29,Main,0.0027528102125104,0.0224921771854122,1,0.0024921771854122,
2025-09-30,CtR-only,1.291717299917616e-07,0.0561971206741393,0,0.0,
2025-09-30,Main,0.0031050785634322,0.022573615698224,1,0.002573615698224,
2025-10-31,CtR-only,4.4066385225074454e-07,0.0605920137735166,0,0.0,
2025-10-31,Main,0.0036631993526946,0.0228218917860215,1,0.0028218917860215,
2025-11-28,CtR-only,2.388159463708451e-07,0.0621099143088376,0,0.0,
2025-11-28,Main,0.0035333474734479,0.0225233175185645,1,0.0025233175185645,
