strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate,failure_rate,bubble_size
CtB-only,0.0286016284235814,0.0458722911468359,0.6235055565903268,-0.1030952251570315,0.0868198913502704,0.2196480616916077,0.0407996013604804,0.0012651133173999,0.0,0.0,139.4559130802163
CtR-only,0.037357195002099,0.0598572139614399,0.6241051417154921,-0.1277081471004737,0.04427535911783,0.109970824729178,3.070697017941551e-06,0.0459303688085144,0.0,0.0,105.420287294264
EW,0.0691892778095233,0.0867572627854848,0.7975041580161425,-0.1567179760822221,0.0169491525423728,0.0,0.0184041577542469,0.2190935918777552,0.0,0.0,83.55932203389824
GMV,0.0188596956914119,0.0256806146083194,0.7343942494780583,-0.0739090130797006,0.0736592918657939,0.275971031697957,0.3017417711742214,0.2380103971356958,0.0,0.0,128.92743349263512
MDP,0.029421978905775,0.0465434936303638,0.6321394594792701,-0.1036680213204365,0.091491785123442,0.2222671000850599,0.040149154106809,0.0015019787260442,0.0,0.0,143.1934280987536
Main,0.0339254332722163,0.0556837427445641,0.6092520294090349,-0.1233372743201677,0.0563696868337475,0.1487214533971429,0.0023921972493646,0.0226943765776695,0.9830508474576272,0.0,115.095749466998
