date,strategy,asset,ctr
2026-04-19,EW,A1,0.013408291114326683
2026-04-19,EW,A2,0.016657829902034092
2026-04-19,EW,A3,0.02009666221135552
2026-04-19,EW,A4,0.02372478804229098
2026-04-19,EW,A5,0.027542207394840455
2026-04-19,GMV,A1,0.04897050841944079
2026-04-19,GMV,A2,0.024735735305389594
2026-04-19,GMV,A3,0.011361439036562369
2026-04-19,GMV,A4,0.0034833594682165815
2026-04-19,GMV,A5,0.0
2026-04-19,CtR-only,A1,0.019330892792074665
2026-04-19,CtR-only,A2,0.019340807992158832
2026-04-19,CtR-only,A3,0.019345976098048164
2026-04-19,CtR-only,A4,0.019348803690953265
2026-04-19,CtR-only,A5,0.019350380985105053
2026-04-19,MDP,A1,0.01933149573460454
2026-04-19,MDP,A2,0.019340880218859654
2026-04-19,MDP,A3,0.019345773078281846
2026-04-19,MDP,A4,0.019348450457312535
2026-04-19,MDP,A5,0.019349944052278294
2026-04-19,CtB-only,A1,0.019317541042153274
2026-04-19,CtB-only,A2,0.01933916769392712
2026-04-19,CtB-only,A3,0.019350461567452334
2026-04-19,CtB-only,A4,0.01935664844006887
2026-04-19,CtB-only,A5,0.01936010300735157
2026-04-19,Main,A1,0.019330892792074665
2026-04-19,Main,A2,0.019340807992158832
2026-04-19,Main,A3,0.019345976098048164
2026-04-19,Main,A4,0.019348803690953265
2026-04-19,Main,A5,0.019350380985105053
