date,strategy,asset,ctb
2026-04-19,EW,A1,0.670414555716334
2026-04-19,EW,A2,0.6940762459180871
2026-04-19,EW,A3,0.71773793611984
2026-04-19,EW,A4,0.7413996263215931
2026-04-19,EW,A5,0.7650613165233459
2026-04-19,GMV,A1,0.8855104499261057
2026-04-19,GMV,A2,0.7379253178552656
2026-04-19,GMV,A3,0.6325074084809208
2026-04-19,GMV,A4,0.5534440553397576
2026-04-19,GMV,A5,0.5107976784731
2026-04-19,CtR-only,A1,0.7210230114193186
2026-04-19,CtR-only,A2,0.7210923258563801
2026-04-19,CtR-only,A3,0.7211284503712352
2026-04-19,CtR-only,A4,0.7211482137027769
2026-04-19,CtR-only,A5,0.7211592377458627
2026-04-19,MDP,A1,0.7210276715988452
2026-04-19,MDP,A2,0.721093275748517
2026-04-19,MDP,A3,0.7211274764330144
2026-04-19,MDP,A4,0.7211461899762845
2026-04-19,MDP,A5,0.7211566291168345
2026-04-19,CtB-only,A1,0.7209197785321347
2026-04-19,CtB-only,A2,0.7210709746945081
2026-04-19,CtB-only,A3,0.7211499119047826
2026-04-19,CtB-only,A4,0.7211931483767103
2026-04-19,CtB-only,A5,0.7212172885156829
2026-04-19,Main,A1,0.7210230114193186
2026-04-19,Main,A2,0.7210923258563801
2026-04-19,Main,A3,0.7211284503712352
2026-04-19,Main,A4,0.7211482137027769
2026-04-19,Main,A5,0.7211592377458627
